Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Cabin_Class,Number_of_Stops,Flight_Layover,Booking_Date,Days_Until_Departure,Is_Holiday_Season,Is_Peak_Season,ATF_Price_INR
IndiGo,2019-03-24 00:00:00,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897,Economy,1,1 Stop(s),2019-01-26 00:00:00,57,0,1,83555.2788417904
Air India,2019-05-01 00:00:00,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7662,Business,3,3 Stop(s),2019-04-22 00:00:00,9,1,1,64836.6386176201
Jet Airways,2019-06-09 00:00:00,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,First Class,3,3 Stop(s),2019-05-18 00:00:00,22,0,0,81090.5687668553
IndiGo,2019-05-12 00:00:00,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218,Business,2,2 Stop(s),2019-04-03 00:00:00,39,1,1,82823.5514585069
IndiGo,2019-03-01 00:00:00,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302,Business,2,2 Stop(s),2019-02-13 00:00:00,16,1,1,87279.6120623635
SpiceJet,2019-06-24 00:00:00,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873,Business,1,1 Stop(s),2019-05-17 00:00:00,38,0,0,75563.718652301
Jet Airways,2019-03-12 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,Business,2,2 Stop(s),2019-03-11 00:00:00,1,0,1,89606.6080980155
Jet Airways,2019-03-01 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,First Class,2,2 Stop(s),2019-01-10 00:00:00,50,1,1,81242.1773338814
Jet Airways,2019-03-12 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,Business,2,2 Stop(s),2019-01-20 00:00:00,51,0,1,68736.8742059413
Multiple carriers,2019-05-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,Economy,2,2 Stop(s),2019-04-08 00:00:00,49,0,0,72826.2305507565
